-41 -6				    0.274594 207
-41 -4				    0.274847 217
-41 -2				    0.275386 220
-41 0				    0.274111 220
-41 2				    0.274951 219
-41 4				    0.276359 205
-41 6				    0.271529 224
-41 8				    0.273452 218
-41 10				    0.2741   281
-41 12				    0.27278  403
-41 14				    0.276345 421
-41 16				    0.280663 455
-41 18				    0.272828 477
-41 20				    0.271345 451
-41 22				    0.275645 434
-41 24				    0.277638 481
-39 -24.			    0.275925 449
-39 -22				    0.275073 477
-39 -20				    0.273161 497
-39 -18				    0.276795 471
-39 -16				    0.271974 438
-39 -14				    0.279192 489
-39 -12				    0.275474 358
-39 -10				    0.274709 232
-39 -8				    0.277149 225
-39 -6				    0.274124 245
-39 -4				    0.274142 225
-39 -2				    0.275999 232
-39 0				    0.27324  252
-39 2				    0.277458 234
-39 4				    0.274618 226
-39 6				    0.272953 192
-39 8				    0.274255 226
-39 10				    0.277559 231
-39 12				    0.275172 361
-39 14				    0.276999 424
-39 16				    0.273337 486
-39 18				    0.275118 457
-39 20				    0.272114 426
-39 22				    0.2751   467
-39 24				    0.271092 457
-37 -24.			    0.273255 468
-37 -22				    0.272717 470
-37 -20				    0.276513 459
-37 -18				    0.270012 499
-37 -16				    0.2751   506
-37 -14				    0.273148 477
-37 -12				    0.272459 311
-37 -10				    0.272212 238
-37 -8				    0.272997 202
-37 -6				    0.270802 223
-37 -4				    0.275516 243
-37 -2				    0.277768 224
-37 0				    0.273167 241
-37 2				    0.269544 205
-37 4				    0.27108  207
-37 6				    0.273755 261
-37 8				    0.275197 208
-37 10				    0.275198 233
-37 12				    0.276394 319
-37 14				    0.273203 483
-37 16				    0.274171 448
-37 18				    0.277914 518
-37 20				    0.277237 458
-37 22				    0.272637 464
-37 24				    0.274672 517
-35 -24.			    0.274939 464
-35 -22				    0.27443  451
-35 -20				    0.271534 511
-35 -18				    0.273229 461
-35 -16				    0.271508 523
-35 -14				    0.270057 422
-35 -12				    0.272071 270
-35 -10				    0.279423 239
-35 -8				    0.273724 219
-35 -6				    0.274082 234
-35 -4				    0.272798 212
-35 -2				    0.275078 249
-35 0				    0.276425 242
-35 2				    0.273221 229
-35 4				    0.272174 224
-35 6				    0.274218 227
-35 8				    0.274065 246
-35 10				    0.275244 262
-35 12				    0.272176 286
-35 14				    0.273967 441
-35 16				    0.275366 483
-35 18				    0.272106 473
-35 20				    0.278537 509
-35 22				    0.272634 476
-35 24				    0.276527 449
-33 -24.			    0.280629 457
-33 -22				    0.281376 524
-33 -20				    0.277753 469
-33 -18				    0.274665 491
-33 -16				    0.279048 507
-33 -14				    0.275415 396
-33 -12				    0.271956 247
-33 -10				    0.274002 240
-33 -8				    0.275958 239
-33 -6				    0.275465 205
-33 -4				    0.274449 231
-33 -2				    0.270705 223
-33 0				    0.277141 251
-33 2				    0.273885 243
-33 4				    0.271575 225
-33 6				    0.274864 234
-33 8				    0.270678 230
-33 10				    0.273146 236
-33 12				    0.270735 234
-33 14				    0.272133 365
-33 16				    0.275799 495
-33 18				    0.274321 505
-33 20				    0.275946 500
-33 22				    0.280868 474
-33 24				    0.27918  468
-31 -24.			    0.280422 514
-31 -22				    0.275984 543
-31 -20				    0.282658 523
-31 -18				    0.274749 500
-31 -16				    0.272058 489
-31 -14				    0.275759 333
-31 -12				    0.274272 251
-31 -10				    0.272672 248
-31 -8				    0.279939 285
-31 -6				    0.275931 249
-31 -4				    0.277664 229
-31 -2				    0.276599 249
-31 0				    0.275057 266
-31 2				    0.271769 241
-31 4				    0.276411 247
-31 6				    0.27622  243
-31 8				    0.27506  270
-31 10				    0.275169 268
-31 12				    0.276937 251
-31 14				    0.27541  361
-31 16				    0.276874 481
-31 18				    0.279298 503
-31 20				    0.279406 504
-31 22				    0.281471 501
-31 24				    0.281072 531
-29 -24.			    0.283348 531
-29 -22				    0.278329 481
-29 -20				    0.279089 517
-29 -18				    0.280274 513
-29 -16				    0.276091 468
-29 -14				    0.273749 270
-29 -12				    0.273769 246
-29 -10				    0.268702 239
-29 -8				    0.272786 240
-29 -6				    0.276317 263
-29 -4				    0.277785 214
-29 -2				    0.276861 257
-29 0				    0.276612 246
-29 2				    0.272705 223
-29 4				    0.272413 247
-29 6				    0.269952 219
-29 8				    0.276364 258
-29 10				    0.278664 270
-29 12				    0.273537 228
-29 14				    0.278302 290
-29 16				    0.273056 476
-29 18				    0.279929 546
-29 20				    0.280386 485
-29 22				    0.277782 527
-29 24				    0.287942 546
-27 -24.			    0.285264 506
-27 -22				    0.279023 513
